,Borough,Neighborhood,Category,ID,Name
0,Bronx,Wakefield,4d375ce799fe8eec99fd2355,Ripe Kitchen & Bar,Caribbean Restaurant
1,Bronx,Wakefield,4c9e50e38afca09379b2ff15,Ali's Roti Shop,Caribbean Restaurant
2,Bronx,Wakefield,4c10f6aece57c92804a682d2,Jackie's West Indian Bakery,Caribbean Restaurant
3,Bronx,Wakefield,508af256e4b0578944c87392,Cooler Runnings Jamaican Restaurant Inc,Caribbean Restaurant
4,Bronx,Wakefield,55bff8a5498e67af2457ca92,Paula's Soul Cafe,Southern / Soul Food Restaurant
5,Bronx,Wakefield,4be5f0eacf200f47d1fa133c,McDonald's,Fast Food Restaurant
6,Bronx,Wakefield,4bf5c0a294b2a5937c42acee,Golden Krust Caribbean Bakery and Grill,Caribbean Restaurant
7,Bronx,Wakefield,4e4e0e38bd4101d0d7a12e00,McDonald's,Fast Food Restaurant
8,Bronx,Wakefield,4bc256eb920eb713cd1b1c2c,McDonald's,Fast Food Restaurant
9,Bronx,Wakefield,4edbac4e775bcc53fc0ed5f8,Hong Kong China King,Chinese Restaurant
10,Bronx,Wakefield,4e1627498877d38dc9037a11,New China Gardens,Asian Restaurant
11,Bronx,Co-op City,524b6ca6498e92aa03e03ff4,Dumplin Shop,Dumpling Restaurant
12,Bronx,Co-op City,4baab2b0f964a520c7803ae3,Country Thyme Cuisine,Caribbean Restaurant
13,Bronx,Co-op City,4b96e429f964a520c6eb34e3,Red Lobster,Seafood Restaurant
14,Bronx,Co-op City,58a9ca678ae363643f8827a2,Sangria Cafe,Spanish Restaurant
15,Bronx,Co-op City,5c47a4b21953f3002c558218,Chipotle Mexican Grill,Mexican Restaurant
16,Bronx,Co-op City,5bc797c82d2fd9002c1b3ec6,Arby's,Fast Food Restaurant
17,Bronx,Co-op City,58582b156431e554e165d909,Moe's Southwest Grill,Mexican Restaurant
18,Bronx,Co-op City,4c7ede131009a09349d1454e,McDonald's,Fast Food Restaurant
19,Bronx,Co-op City,4be2b79d660ec9284d04ca3b,Townhouse Restaurant,Restaurant
20,Bronx,Co-op City,4bb0ebe3f964a5205c6a3ce3,Applebee's Grill + Bar,American Restaurant
21,Bronx,Co-op City,4c28fb31fe6e2d7fa81e543c,Kennedy's,Fast Food Restaurant
22,Bronx,Co-op City,4c757642b474a1cd2858b9bf,Golden Krust Caribbean Bakery and Grill,Caribbean Restaurant
23,Bronx,Co-op City,4c66dcfaaebea593955a74d0,Chinese Buffet,Chinese Restaurant
24,Bronx,Eastchester,515cc20ce4b0deb133b8e89b,Fish & Ting,Caribbean Restaurant
25,Bronx,Eastchester,4bfdd3dfb68d0f47fa6fe957,Dyre Fish Market,Seafood Restaurant
26,Bronx,Eastchester,57acd299498ec1bb717dcdd5,Taco Bell,Fast Food Restaurant
27,Bronx,Eastchester,59e50faa3149b91759f70437,Chipotle Mexican Grill,Mexican Restaurant
28,Bronx,Eastchester,50f9fef3e4b0c2329117b8a8,Yumi Asian Bistro & Hibachi Steak House,Asian Restaurant
29,Bronx,Eastchester,4bc8ffff511f9521c6eaacc7,Wendy's,Fast Food Restaurant
